--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
039.750  000.256  000.039: require('mason-core.platform')
039.826  000.075  000.075: require('mason.settings')
039.832  000.372  000.026: require('mason-core.installer.InstallLocation')
039.941  000.062  000.062: require('mason-core.log')
039.942  000.089  000.027: require('mason-core.EventEmitter')
039.965  000.021  000.021: require('mason-registry.sources')
039.967  000.134  000.024: require('mason-registry')
039.968  000.592  000.085: require('mason')
040.101  000.040  000.040: require('mason.api.command')
040.127  000.002  000.002: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
040.130  000.001  000.001: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
040.235  000.001  000.001: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
040.238  000.000  000.000: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
040.382  000.001  000.001: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
040.385  000.000  000.000: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
040.669  000.017  000.017: require('luasnip.util.types')
040.671  000.036  000.019: require('luasnip.util.ext_opts')
040.725  000.012  000.012: require('luasnip.util.lazy_table')
040.741  000.015  000.015: require('luasnip.extras.filetype_functions')
040.745  000.057  000.029: require('luasnip.default_config')
040.746  000.074  000.017: require('luasnip.session')
040.747  000.233  000.123: require('luasnip.config')
040.860  000.013  000.013: require('luasnip.util.vimversion')
040.863  000.053  000.040: require('luasnip.util.util')
040.909  000.014  000.014: require('luasnip.nodes.key_indexer')
040.931  000.021  000.021: require('luasnip.util.feedkeys')
040.934  000.070  000.034: require('luasnip.nodes.util')
040.986  000.026  000.026: require('luasnip.session.snippet_collection.source')
041.001  000.014  000.014: require('luasnip.util.table')
041.017  000.014  000.014: require('luasnip.util.auto_table')
041.020  000.086  000.030: require('luasnip.session.snippet_collection')
041.151  000.024  000.024: require('luasnip.util.select')
041.167  000.015  000.015: require('luasnip.util.time')
041.337  000.264  000.225: require('luasnip.util._builtin_vars')
041.365  000.312  000.048: require('luasnip.util.environ')
041.389  000.023  000.023: require('luasnip.util.extend_decorator')
041.469  000.040  000.040: require('luasnip.util.path')
041.536  000.034  000.034: require('luasnip.util.log')
041.539  000.070  000.036: require('luasnip.loaders.util')
041.558  000.018  000.018: require('luasnip.loaders.data')
041.610  000.052  000.052: require('luasnip.loaders.fs_watchers')
041.613  000.223  000.044: require('luasnip.loaders')
041.627  000.876  000.109: require('luasnip')
041.665  001.258  000.149: sourcing /home/jonco/.local/share/nvim/lazy/LuaSnip/plugin/luasnip.lua
041.668  001.272  000.014: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
041.700  000.016  000.016: sourcing /home/jonco/.local/share/nvim/lazy/LuaSnip/plugin/luasnip.vim
041.701  000.028  000.012: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
041.720  000.001  000.001: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
041.726  000.001  000.001: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
041.825  000.095  000.095: require('vim.version')
042.902  000.040  000.040: require('cmp.utils.api')
042.943  000.018  000.018: require('cmp.types.cmp')
042.993  000.025  000.025: require('cmp.utils.misc')
043.040  000.096  000.072: require('cmp.types.lsp')
043.057  000.016  000.016: require('cmp.types.vim')
043.058  000.153  000.022: require('cmp.types')
043.076  000.017  000.017: require('cmp.utils.highlight')
043.118  000.020  000.020: require('cmp.utils.debug')
043.121  000.045  000.025: require('cmp.utils.autocmd')
043.318  000.005  000.005: sourcing nvim_exec2() called at /home/jonco/.local/share/nvim/lazy/nvim-cmp/plugin/cmp.lua:0
043.320  000.492  000.232: sourcing /home/jonco/.local/share/nvim/lazy/nvim-cmp/plugin/cmp.lua
043.321  000.507  000.015: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
043.329  000.001  000.001: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
043.335  000.000  000.000: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
043.653  000.096  000.096: require('cmp.utils.char')
043.669  000.170  000.074: require('cmp.utils.str')
044.196  000.074  000.074: require('cmp.utils.buffer')
044.210  000.191  000.118: require('cmp.utils.keymap')
044.212  000.541  000.350: require('cmp.utils.feedkeys')
044.357  000.059  000.059: require('cmp.config.mapping')
044.388  000.030  000.030: require('cmp.utils.cache')
044.490  000.063  000.063: require('cmp.config.compare')
044.491  000.101  000.038: require('cmp.config.default')
044.510  000.256  000.066: require('cmp.config')
044.518  000.306  000.049: require('cmp.utils.async')
044.591  000.033  000.033: require('cmp.utils.pattern')
044.595  000.076  000.043: require('cmp.context')
044.877  000.134  000.134: require('cmp.utils.snippet')
044.923  000.043  000.043: require('cmp.matcher')
044.931  000.282  000.106: require('cmp.entry')
044.939  000.343  000.061: require('cmp.source')
045.028  000.043  000.043: require('cmp.utils.event')
045.174  000.043  000.043: require('cmp.utils.options')
045.178  000.106  000.062: require('cmp.utils.window')
045.180  000.151  000.046: require('cmp.view.docs_view')
045.267  000.086  000.086: require('cmp.view.custom_entries_view')
045.342  000.074  000.074: require('cmp.view.wildmenu_entries_view')
045.389  000.046  000.046: require('cmp.view.native_entries_view')
045.470  000.080  000.080: require('cmp.view.ghost_text_view')
045.477  000.537  000.057: require('cmp.view')
045.982  002.579  000.607: require('cmp.core')
046.134  000.057  000.057: require('cmp.config.sources')
046.163  000.028  000.028: require('cmp.config.window')
046.205  002.863  000.199: require('cmp')
046.269  000.063  000.063: require('lspkind')
046.400  000.052  000.052: require('luasnip.session.enqueueable_operations')
046.975  000.124  000.124: require('luasnip.util.events')
046.999  000.465  000.341: require('luasnip.nodes.node')
047.196  000.197  000.197: require('luasnip.nodes.insertNode')
047.274  000.076  000.076: require('luasnip.nodes.textNode')
047.387  000.112  000.112: require('luasnip.util.mark')
047.509  000.121  000.121: require('luasnip.util.pattern_tokenizer')
047.593  000.083  000.083: require('luasnip.util.dict')
048.014  000.042  000.042: require('jsregexp.core')
048.020  000.153  000.111: require('luasnip-jsregexp')
048.021  000.337  000.184: require('luasnip.util.jsregexp')
048.030  000.436  000.098: require('luasnip.nodes.util.trig_engines')
048.078  001.643  000.155: require('luasnip.nodes.snippet')
048.274  000.024  000.024: require('luasnip.util.parser.neovim_ast')
048.295  000.020  000.020: require('luasnip.util.str')
048.319  000.021  000.021: require('luasnip.util.directed_graph')
048.323  000.167  000.101: require('luasnip.util.parser.ast_utils')
048.353  000.029  000.029: require('luasnip.nodes.functionNode')
048.387  000.033  000.033: require('luasnip.nodes.choiceNode')
048.417  000.029  000.029: require('luasnip.nodes.dynamicNode')
048.434  000.016  000.016: require('luasnip.util.functions')
048.437  000.357  000.083: require('luasnip.util.parser.ast_parser')
048.478  000.041  000.041: require('luasnip.util.parser.neovim_parser')
048.481  002.080  000.039: require('luasnip.util.parser')
048.505  000.023  000.023: require('luasnip.nodes.snippetProxy')
048.578  000.072  000.072: require('luasnip.util.jsonc')
048.611  000.016  000.016: require('luasnip.nodes.duplicate')
048.612  000.032  000.017: require('luasnip.loaders.snippet_cache')
048.617  002.347  000.087: require('luasnip/loaders/from_vscode')
050.818  000.069  000.069: require('luasnip.nodes.multiSnippet')
052.136  000.005  000.005: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
052.142  000.001  000.001: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
052.241  000.001  000.001: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
052.244  000.000  000.000: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
052.385  000.028  000.028: require('vim.lsp.log')
052.617  000.230  000.230: require('vim.lsp.protocol')
052.696  000.077  000.077: require('vim.lsp.util')
052.733  000.015  000.015: require('vim.lsp.sync')
052.735  000.038  000.023: require('vim.lsp._changetracking')
052.781  000.022  000.022: require('vim.lsp._transport')
052.808  000.072  000.050: require('vim.lsp.rpc')
052.849  000.545  000.099: require('vim.lsp')
052.924  000.075  000.075: require('lspconfig.util')
053.483  001.209  000.589: sourcing /home/jonco/.local/share/nvim/lazy/nvim-lspconfig/plugin/lspconfig.lua
053.486  001.225  000.016: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
053.493  000.003  000.003: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
053.498  000.001  000.001: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
053.860  000.002  000.002: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
053.864  000.001  000.001: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
053.884  000.383  000.381: require('neoconf')
054.019  000.026  000.026: require('vim.health')
054.021  000.135  000.110: require('neoconf.health')
054.060  000.015  000.015: require('neoconf.config')
054.063  000.042  000.027: require('neoconf.util')
054.100  000.014  000.014: require('lspconfig.async')
054.101  000.035  000.021: require('lspconfig.configs')
054.132  000.026  000.026: require('neoconf.import')
054.239  000.015  000.015: require('neoconf.settings')
054.241  000.040  000.025: require('neoconf.commands')
054.786  000.026  000.026: require('neoconf.plugins')
054.811  000.023  000.023: require('neoconf.plugins.lspconfig')
054.911  000.044  000.044: require('vim.iter')
054.957  000.021  000.021: require('neoconf.schema')
054.958  000.040  000.019: require('neoconf.plugins.jsonls')
054.975  000.016  000.016: require('neoconf.plugins.lua_ls')
055.017  000.020  000.020: require('cmp_nvim_lsp.source')
055.020  000.044  000.023: require('cmp_nvim_lsp')
055.047  000.027  000.027: require('lspconfig')
055.067  000.018  000.018: require('lspconfig.configs.gopls')
055.279  000.027  000.027: require('lspconfig.manager')
055.311  000.030  000.030: require('lspconfig.configs.solidity_ls')
055.395  000.027  000.027: require('lspconfig.configs.lua_ls')
055.478  000.020  000.020: require('lspconfig.configs.jsonls')
055.528  000.025  000.025: require('lspconfig.configs.pyright')
055.595  000.023  000.023: require('lspconfig.configs.ts_ls')
055.654  000.024  000.024: require('lspconfig.configs.bashls')
055.694  000.017  000.017: require('lspconfig.configs.emmet_ls')
055.747  000.026  000.026: require('lspconfig.configs.dockerls')
055.801  000.025  000.025: require('lspconfig.configs.clangd')
